PNR,Complaint,Department
,The website does not have a clear policy on the carriage of sports equipment,Commercial & Ticketing
,The fan was not working and the staff was not taking any action at all,Technical Maintenance (Coach)
,The food was not good and it was not properly cooked,Catering & Food Quality
,The staff was not providing a clean bed roll,Staff Behavior & Customer Service
,The coach was not cleaned and the toilet was very dirty and not working,Cleanliness & Housekeeping
,The security was not good and there was a lot of eve teasing,Security & Rpf
,The station did not have a proper waiting room for passengers with children,Station Management & Infrastructure
,The train was late and I had to face a lot of problems during my journey,Operations & Scheduling
,The website does not have a clear policy on the carriage of perishable goods,Commercial & Ticketing
,The light was not working and the staff was not paying any attention to it,Technical Maintenance (Coach)
,The food was not good and it was not properly packed and served,Catering & Food Quality
,The staff was not providing a clean pillow cover,Staff Behavior & Customer Service
,The coach was not cleaned and the toilet was very dirty and broken,Cleanliness & Housekeeping
,The security was not good and there was a lot of nuisance,Security & Rpf
,The announcement for train arrival was made just 2 minutes before it reached the platform,Operations & Scheduling
,The seat cushion was completely flat and offered no comfort,Technical Maintenance (Coach)
,The station premises were littered with plastic cups and plates,Station Management & Infrastructure
,The meal I received was different from the one I ordered,Catering & Food Quality
,The staff at the information counter was dismissive and unhelpful,Staff Behavior & Customer Service
,The washroom was not cleaned and the hand soap was missing,Cleanliness & Housekeeping
,I was unable to apply a discount coupon on the booking website,Commercial & Ticketing
,A group of people were playing loud music and the RPF did not intervene,Security & Rpf
,The train was late by over 5 hours and no reason was given,Operations & Scheduling
,The tray table was sticky with old food stains,Technical Maintenance (Coach)
,The waiting hall at the station was overcrowded and had no ventilation,Station Management & Infrastructure
,The food served was cold and the rice was hard,Catering & Food Quality
,The TTE was not checking for tickets allowing unauthorized travel,Staff Behavior & Customer Service
,The coach was not cleaned and there was a lot of dust on the berths,Cleanliness & Housekeeping
,The website s captcha is too complicated and hard to solve,Commercial & Ticketing
,The train was stopped in a remote area with no security presence,Security & Rpf
,The train was running late but the app showed that it was running on time,Operations & Scheduling
,The AC vent was blocked and was not providing any cool air,Technical Maintenance (Coach)
,The station did not have a proper designated area for taxi pickups,Station Management & Infrastructure
,The food was not hygienic and I saw a fly in my meal,Catering & Food Quality
,The staff was not providing a wheelchair for an elderly passenger in need,Staff Behavior & Customer Service
,The coach was not cleaned and the dustbin was not emptied for the entire journey,Cleanliness & Housekeeping
,The website does not have a clear policy on the refund for partially used tickets,Commercial & Ticketing
,The train was stopped due to a signal failure ahead of us,Security & Rpf
,The train was late and I missed a crucial medical appointment,Operations & Scheduling
,The fan was running at a very high speed and was very noisy,Technical Maintenance (Coach)
,The station did not have a proper waiting room for mothers with infants,Station Management & Infrastructure
,The food was not good and was not fresh,Catering & Food Quality
,The staff was not providing a clean bedsheet even though it was a long journey,Staff Behavior & Customer Service
,The coach was not cleaned and the toilet was very dirty and smelly,Cleanliness & Housekeeping
,The website is not easy to navigate for booking tickets quickly,Commercial & Ticketing
,The train was stopped due to a security check which took a very long time,Security & Rpf
,The train was late and I had to pay for an expensive hotel room,Operations & Scheduling
,The light in the coach was too dim to read a book,Technical Maintenance (Coach)
,The station did not have a proper waiting room for passengers with physical disabilities,Station Management & Infrastructure
,The food was not good and it was not properly cooked,Catering & Food Quality
,The staff was not providing a clean pillow,Staff Behavior & Customer Service
,The coach was not cleaned and the seats were very dusty and had stains,Cleanliness & Housekeeping
,The website does not have a clear policy on the refund for confirmed tickets,Commercial & Ticketing
,The train was stopped due to a security problem at the station ahead,Security & Rpf
,The train was late and I had to reschedule my flight tickets at a high cost,Operations & Scheduling
,The fan was not working and the staff did not have any solution for it,Technical Maintenance (Coach)
,The station did not have a proper waiting room for passengers with confirmed reservation,Station Management & Infrastructure
,The food was not good and it was not hygienic,Catering & Food Quality
,The staff was not providing a clean blanket,Staff Behavior & Customer Service
,The coach was not cleaned and the toilet was very dirty and not working,Cleanliness & Housekeeping
,The website does not have a clear policy on the refund for waitlisted tickets,Commercial & Ticketing
,The train was stopped due to a security problem on the railway tracks,Security & Rpf
,The train was late and I had to face a lot of difficulties,Operations & Scheduling
,The light was not working and the staff was not taking any action on my complaint,Technical Maintenance (Coach)
,The station did not have a proper waiting room for passengers with children,Station Management & Infrastructure
,The food was not good and it was not properly packed,Catering & Food Quality
,The staff was not providing a clean bed roll,Staff Behavior & Customer Service
,The coach was not cleaned and the toilet was very dirty and smelly,Cleanliness & Housekeeping
,The website does not have a clear policy on the refund for RAC tickets,Commercial & Ticketing
,The train was stopped due to a security problem in the train,Security & Rpf
,The train was late and I had to cancel my important work,Operations & Scheduling
,The fan was not working and the staff was not providing any alternative,Technical Maintenance (Coach)
,The station did not have a proper waiting room for passengers with general tickets,Station Management & Infrastructure
,The food was not good and it was not properly served,Catering & Food Quality
,The staff was not providing a clean pillow cover,Staff Behavior & Customer Service
,The coach was not cleaned and the toilet was very dirty and broken,Cleanliness & Housekeeping
,The website does not have a clear policy on the refund for group tickets,Commercial & Ticketing
,The train was stopped due to a security problem at the next station,Security & Rpf
,The train was late and I had to change my entire travel itinerary,Operations & Scheduling
,The light was not working and the staff was not listening to my repeated requests,Technical Maintenance (Coach)
,The station did not have a proper waiting room for passengers with pets,Station Management & Infrastructure
,The food was not good and it was not properly delivered to my seat,Catering & Food Quality
,The staff was not providing a clean bedsheet,Staff Behavior & Customer Service
,The coach was not cleaned and the toilet was very dirty and stinky,Cleanliness & Housekeeping
,The website does not have a clear policy on the refund for foreign tourist tickets,Commercial & Ticketing
,The train was stopped due to a security problem on the route,Security & Rpf
,The train was late and I had to stay in a different city for the night,Operations & Scheduling
,The fan was not working and the staff was not providing any help to fix it,Technical Maintenance (Coach)
,The station did not have a proper waiting room for passengers with special needs,Station Management & Infrastructure
,The food was not good and it was not properly prepared,Catering & Food Quality
,The staff was not providing a clean blanket cover,Staff Behavior & Customer Service
,The coach was not cleaned and the toilet was very dirty and not maintained,Cleanliness & Housekeeping
,The train was running without a proper security guard,Security & Rpf
,The station did not have a proper inquiry office,Station Management & Infrastructure
,The website does not provide an option to book a connecting train,Commercial & Ticketing
,The coach s fan was not working and it was very hot,Technical Maintenance (Coach)
,The train was delayed due to a problem with the railway track,Operations & Scheduling
,The food was not fresh and was smelling bad,Catering & Food Quality
,The coach was not cleaned and the seats were very dusty,Cleanliness & Housekeeping
,The staff was not able to provide information about the train s delay,Staff Behavior & Customer Service
,The train was stopped in a very unsafe area at night,Security & Rpf
,The station did not have a proper waiting room for ladies,Station Management & Infrastructure
,The website does not provide an option to book a ticket for a group,Commercial & Ticketing
,The coach s lights were not working and it was very dark,Technical Maintenance (Coach)
,The train was delayed due to a problem with the brakes,Operations & Scheduling
,The food was not hygienic and was making people sick,Catering & Food Quality
,The coach was not cleaned and the floor was very dirty,Cleanliness & Housekeeping
,The staff was not able to provide information about the platform number,Staff Behavior & Customer Service
,The train was running without a proper guard,Security & Rpf
,The station did not have a proper announcement system for train arrivals,Station Management & Infrastructure
,The website does not provide an option to book a ticket with a student concession,Commercial & Ticketing
,The coach s window was broken and cold air was coming in,Technical Maintenance (Coach)
,The train was delayed due to a problem with the train s engine,Operations & Scheduling
,The food was not of good quality and was very expensive,Catering & Food Quality
,The coach was not cleaned and the washroom was very dirty,Cleanliness & Housekeeping
,The staff was not able to provide information about the train s current location,Staff Behavior & Customer Service
,The train was running without a proper security check,Security & Rpf
,The station did not have a proper waiting hall for passengers,Station Management & Infrastructure
,Train ka departure time galat bataya gaya inquiry counter pe,Staff Behavior & Customer Service
,Coach ke andar paan ke daag the saaf safai zero thi,Cleanliness & Housekeeping
,The online portal crashed while I was making a payment for my ticket,Commercial & Ticketing
,A group of boys were harassing a family and no security was available,Security & Rpf
,Platform no 4 par aane wali train platform no 7 par aayi koi announcement nahi hua,Operations & Scheduling
,Seat ka cushion phata hua tha baithne me dikkat ho rahi thi,Technical Maintenance (Coach)
,Station par pine ka saaf paani nahi mil raha tha,Station Management & Infrastructure
,Food vendor ne khane ka extra charge liya aur quality bhi bekar thi,Catering & Food Quality
,Staff ne wheelchair provide karne se mana kar diya for an elderly person,Staff Behavior & Customer Service
,The toilet was overflowing and the smell was unbearable,Cleanliness & Housekeeping
,I was unable to retrieve my password on the booking website,Commercial & Ticketing
,Suspicious unattended luggage was lying in the coach for hours,Security & Rpf
,Train was stopped for over 2 hours due to track maintenance without prior info,Operations & Scheduling
,The mirror above the wash basin was missing in the coach,Technical Maintenance (Coach)
,The food court at the station was closed during the day,Station Management & Infrastructure
,The chapatis served were hard as a rock,Catering & Food Quality
,The TTE was not wearing his badge and was rude to passengers,Staff Behavior & Customer Service
,The entire coach was stinking of smoke,Cleanliness & Housekeeping
,My reservation was cancelled by the system without any valid reason,Commercial & Ticketing
,There were people drinking and making noise in the coach at night,Security & Rpf
,Train got delayed due to a technical fault in the engine,Operations & Scheduling
,The side lower berth was broken and could not be locked into a seat,Technical Maintenance (Coach)
,The waiting room at Delhi station was too small and congested,Station Management & Infrastructure
,The biryani served had no chicken pieces in it just rice,Catering & Food Quality
,The staff was not helping a blind person to find his seat,Staff Behavior & Customer Service
,The bedroll provided was wet and smelled of mildew,Cleanliness & Housekeeping
,I was charged a cancellation fee even though the train was cancelled by the railways,Commercial & Ticketing
,A vendor was selling fake branded water bottles,Security & Rpf
,The train was diverted through a longer route adding 5 hours to the journey,Operations & Scheduling
,The charging port was so loose that my charger kept falling out,Technical Maintenance (Coach)
,The station did not have any indicator for coach positions,Station Management & Infrastructure
,The tea was just colored hot water no taste at all,Catering & Food Quality
,The staff was not responsive to the repeated complaints about the dirty toilet,Staff Behavior & Customer Service
,The floor was not mopped and there were sticky patches everywhere,Cleanliness & Housekeeping
,The website does not allow booking for more than 6 passengers at a time,Commercial & Ticketing
,The RPF personnel were seen taking money from unauthorized vendors,Security & Rpf
,The train stopped suddenly with a loud bang creating panic,Operations & Scheduling
,The light above my berth was not working and I couldn t read,Technical Maintenance (Coach)
,The station s escalator was not working which was difficult for my old parents,Station Management & Infrastructure
,The food served was not properly packed and had leaked all over,Catering & Food Quality
,The staff was not able to handle a situation where a passenger fell sick,Staff Behavior & Customer Service
,The coach was not cleaned after passengers deboarded at an intermediate station,Cleanliness & Housekeeping
,The refund for a cancelled ticket has been pending for weeks,Commercial & Ticketing
,People were gambling inside the train coach,Security & Rpf
,The train was running late but the NTES app showed it was on time,Operations & Scheduling
,The window curtain was torn and couldn t block the sunlight,Technical Maintenance (Coach)
,The station did not have a pre paid auto or taxi stand,Station Management & Infrastructure
,The sandwich I ordered was stale,Catering & Food Quality
,The cleaning staff was asking for tips from passengers,Staff Behavior & Customer Service
,The toilet was not cleaned and there was no water,Cleanliness & Housekeeping
,The fare for children s tickets is not clearly mentioned on the website,Commercial & Ticketing
,A group of people were blocking the exit and no security staff was there to manage,Security & Rpf
,The train was announced to be on time but it was late by 3 hours,Operations & Scheduling
,The seat s upholstery was torn and dirty,Technical Maintenance (Coach)
,The station did not have a cloakroom to keep luggage,Station Management & Infrastructure
,The meal was served without any pickles or salad as mentioned in the menu,Catering & Food Quality
,The staff was not helping passengers with heavy luggage,Staff Behavior & Customer Service
,The coach was full of mosquitoes and no repellent was sprayed,Cleanliness & Housekeeping
,The website is very confusing to navigate,Commercial & Ticketing
,Some people were trying to snatch bags from passengers,Security & Rpf
,The train was stopped due to some agitation on the tracks,Operations & Scheduling
,The AC was not working and the coach was like an oven,Technical Maintenance (Coach)
,The station s platform was broken at several places,Station Management & Infrastructure
,The food was sold at a price higher than the MRP,Catering & Food Quality
,The staff was not polite and was shouting at passengers,Staff Behavior & Customer Service
,The bedsheets provided had yellow stains on them,Cleanliness & Housekeeping
,The website does not have a customer care number that works,Commercial & Ticketing
,Unauthorised people were sleeping on the floor of the reserved coach,Security & Rpf
,The train s timing was changed permanently without adequate notice,Operations & Scheduling
,The fan regulator was broken so the fan was always at full speed,Technical Maintenance (Coach)
,The station did not have a proper place to dispose of garbage,Station Management & Infrastructure
,The coffee served was instant coffee not brewed as promised,Catering & Food Quality
,The staff was not helping a woman with a baby find her seat,Staff Behavior & Customer Service
,The coach was not cleaned and there were cobwebs in the corners,Cleanliness & Housekeeping
,The PNR was not confirmed even after being on the waiting list for a long time,Commercial & Ticketing
,A fight broke out and the RPF arrived very late,Security & Rpf
,The train was late and no reason was provided by the railway authorities,Operations & Scheduling
,The water tap was loose and was spraying water everywhere,Technical Maintenance (Coach)
,The station s waiting room had broken chairs,Station Management & Infrastructure
,The food was delivered to the wrong berth,Catering & Food Quality
,The staff was not able to provide a simple pen to fill a form,Staff Behavior & Customer Service
,The toilet s floor was wet and very slippery,Cleanliness & Housekeeping
,The website does not show the seat map for all coaches,Commercial & Ticketing
,A group of people were performing stunts near the train door,Security & Rpf
,The train was cancelled but the refund process is very slow,Operations & Scheduling
,The armrest was missing from my seat,Technical Maintenance (Coach)
,The station did not have clear signage for the exits,Station Management & Infrastructure
,The omlette served for breakfast was burnt,Catering & Food Quality
,The staff was not providing information about connecting trains,Staff Behavior & Customer Service
,The coach was very dirty with food wrappers lying everywhere,Cleanliness & Housekeeping
,The booking confirmation email was never sent to me,Commercial & Ticketing
,The security cameras at the station seemed to be fake,Security & Rpf
,The train was delayed due to a non availability of the loco pilot,Operations & Scheduling
,The side table between the seats was broken,Technical Maintenance (Coach)
,The station did not have a proper lost and found section,Station Management & Infrastructure
,The idli served was very hard and cold,Catering & Food Quality
